0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
118,2,1201,4,1,14,208.32370988,46.98192318,130.65030797,5.3310329,8.5760008,8.08478173,0.71684358,-0.81951817,-0.70762767,-1934.32561112,0.0,0.0,319.52499946,71.83861754
120,2,1201,4,3,5,158.89400057,5.49725802,143.54263304,2.74641577,6.57025667,5.4120189,-0.36959293,-0.5300875,0.13314309,-1940.57059109,0.0,0.0,276.75000047,70.66249096
121,2,360,4,3,8,161.21842896,46.99636172,128.73216976,8.3909511,11.71880758,12.83080887,0.59648817,-0.76411598,-0.59153479,-579.57436826,0.0,0.0,270.62500021,71.45573356
122,2,1201,4,1,10,126.00136606,31.93007733,188.62919392,4.22758103,19.67591041,8.86089368,0.52235124,-0.66928016,-0.58158324,-1933.38201041,0.0,0.0,282.22499961,98.05892007
124,2,1201,4,1,6,147.45590501,34.07653696,84.15982854,3.77328646,5.41136295,5.52387272,0.72427446,-0.83566478,-0.72233131,-1933.87745734,0.0,0.0,219.52500112,47.35954763
126,2,1201,4,3,11,142.83899494,38.54971819,130.0816884,4.09485426,7.25439082,6.69881841,0.60416337,-0.74220294,-0.58808612,-1932.93521872,0.0,0.0,252.42499843,70.19360231
128,2,1201,4,3,12,148.43960952,40.4567412,107.81020251,4.05124845,5.74237269,6.12477358,0.62955204,-0.78197247,-0.62557654,-1933.03307991,0.0,0.0,240.25000086,60.08483493
130,2,1201,4,1,20,132.32924853,7.61495279,127.58876814,2.42682671,12.7570152,4.71450342,-0.45593499,-0.46931015,0.05452155,-1934.00585777,0.0,0.0,236.29999991,67.71547085
132,2,1201,4,1,5,192.07185011,68.86062091,110.99493991,7.36045314,6.95541436,9.58048669,0.75488695,-0.88986069,-0.77167476,-1933.01997874,0.0,0.0,290.07499878,71.35801927
134,2,1201,4,1,5,147.52992185,56.12107579,95.24094099,5.91224864,5.4657371,7.85793135,0.73494684,-0.88089475,-0.74943484,-1933.80129435,0.0,0.0,231.02500079,59.00425292
136,2,1201,4,1,12,173.20600095,62.59220061,112.07062308,6.70535518,6.75566584,8.99043964,0.74659949,-0.87775624,-0.75685131,-1933.64662063,0.0,0.0,271.00000103,68.74954531
138,2,1201,4,1,12,145.94209284,55.6504904,98.83245512,5.67527712,5.45047738,7.61323278,0.71422082,-0.86653884,-0.72664832,-1933.07875087,0.0,0.0,232.29999899,60.42503572
141,2,1201,4,1,6,180.08121445,57.81340976,97.44838659,5.91123185,5.83169807,7.82072712,0.72238269,-0.87428517,-0.74290239,-1934.36663242,0.0,0.0,265.75000069,61.32852013
143,2,1201,4,1,8,186.83842282,60.39335341,132.79403581,5.90127208,6.96554824,8.39253578,0.65629641,-0.81629351,-0.66083857,-1933.21985986,0.0,0.0,301.19999965,76.96937755
145,2,1201,4,1,13,124.28599947,9.18768524,162.17373577,2.84112889,18.54447881,6.02029386,-0.24970719,-0.4582757,-0.09343643,-1933.90292102,0.0,0.0,256.39999942,86.13892885
147,2,1201,4,1,17,145.88799523,27.00311946,102.75437744,3.26206347,7.32139905,5.510968,0.67286913,-0.7662876,-0.65470681,-1935.71890941,0.0,0.0,232.25000023,54.11272956
149,2,1201,4,1,12,181.58895578,48.44808115,104.1346934,5.21634693,6.53846845,7.35311745,0.72857937,-0.85223479,-0.7350897,-1933.31788148,0.0,0.0,271.49999996,60.58258971
151,2,1201,4,3,12,165.19993385,49.58808013,58.73462367,6.27364491,4.82089076,7.75356813,0.82595155,-0.94150598,-0.85071617,-1933.20662161,0.0,0.0,218.32500109,43.44326053
154,2,1201,4,1,8,212.73258928,69.33586571,102.57087347,7.76821418,7.01324194,10.00810881,0.77778576,-0.90844311,-0.80001544,-1932.95292361,0.0,0.0,303.72499907,67.91374606
156,2,1201,4,1,5,198.83604641,32.46222475,84.58019712,3.38895557,4.91431481,5.04726154,0.6695107,-0.80371244,-0.66864014,-1933.00778172,0.0,0.0,270.99999865,47.21758184
158,2,1201,4,1,8,168.95320991,57.90423173,145.03031468,5.61461917,7.05588902,8.3022773,0.61945429,-0.78323292,-0.61268549,-1933.0787706,0.0,0.0,292.89999933,81.71982711
160,2,1201,4,1,7,169.75999806,43.16373934,110.87565636,4.00459035,5.20709447,6.0195204,0.56162123,-0.75828801,-0.5663476,-1936.91169549,0.0,0.0,264.24999949,62.59143228
162,2,1201,4,3,10,122.03929525,39.55255477,145.88808111,4.07694769,6.90011564,6.89381716,0.52625493,-0.69494545,-0.50365923,-1933.85367027,0.0,0.0,244.52499879,78.87285253
164,2,1201,4,1,7,185.96664231,60.61679545,82.88248466,6.97570413,5.92130134,8.85007785,0.79084003,-0.91957733,-0.81471971,-1933.05689317,0.0,0.0,259.92499977,56.86358127
166,2,1201,4,1,12,162.2247927,49.77955058,151.52764808,4.88296166,7.18965497,7.75249347,0.55987121,-0.73476602,-0.54853574,-1933.85004174,0.0,0.0,290.24999969,83.04328627
168,2,1201,4,1,9,159.16145657,39.98444155,102.0372951,3.93992324,5.38318048,5.87792931,0.62665234,-0.78621975,-0.62708658,-1933.32362871,0.0,0.0,246.24999952,57.37322957
170,2,1201,4,1,18,152.74026532,10.67525349,192.72262103,4.12478119,54.1231997,7.21290008,-0.60789561,-0.29856868,-0.15459839,-1935.67096199,0.0,0.0,309.39999993,104.33877451
172,2,1201,4,1,7,145.25187543,42.30164977,100.45848129,4.5885352,6.20065059,6.64287023,0.71826658,-0.83636034,-0.71680717,-1933.80657867,0.0,0.0,231.50000034,57.01973239
174,2,1201,4,1,11,153.90358041,30.89455153,99.47735459,3.12762945,5.1180034,5.04859966,0.57030758,-0.73323208,-0.56157792,-1933.52971007,0.0,0.0,237.77500047,54.22823853
