,subject,test,score,Tau
185,90,OSPAN,0.11101522038001012,96.947023295
186,91,OSPAN,-2.704734460167517,98.887866815
187,92,OSPAN,0.4945223453291349,108.92595975
188,93,OSPAN,0.0908306348563708,173.63367576
189,94,OSPAN,0.8477525919928034,163.19341401
190,95,OSPAN,0.5046146380909551,131.761452085
191,96,OSPAN,0.7468296643746124,95.67161811
192,97,OSPAN,-0.1816612697127427,113.826037765
193,98,OSPAN,-0.4642454670436787,146.766366415
194,99,OSPAN,-0.6257221512327832,116.39222179999999
195,100,OSPAN,-0.12110751314182923,89.400578535
196,1,RAPM,1.3420091496576434,106.72445752
197,2,RAPM,-0.6209296065580149,120.855988275
198,3,RAPM,0.9494213984145116,111.727054065
199,4,RAPM,-0.2283418553148831,172.39859476499996
200,5,RAPM,1.7345969009007751,123.16638393
201,6,RAPM,-1.406105109044278,99.036833455
202,7,RAPM,-1.0135173578011465,175.32081739
203,8,RAPM,0.9494213984145116,92.24280198
204,9,RAPM,0.9494213984145116,103.864944985
205,10,RAPM,0.5568336471713803,118.78651816
206,11,RAPM,-1.406105109044278,163.62562660999996
207,12,RAPM,0.5568336471713803,45.717286455
208,13,RAPM,0.9494213984145116,100.86096799
209,14,RAPM,-1.7986928602874095,134.732704055
210,15,RAPM,-1.0135173578011465,62.55620093
211,16,RAPM,-0.6209296065580149,69.19922793
212,17,RAPM,0.5568336471713803,88.584535805
213,18,RAPM,0.9494213984145116,112.05009554
214,19,RAPM,0.16424589592824848,94.333945025
215,20,RAPM,-1.406105109044278,113.182591585
216,21,RAPM,0.16424589592824848,128.81424965
217,22,RAPM,-1.7986928602874095,105.09143564
218,23,RAPM,0.9494213984145116,96.5325773
219,24,RAPM,-0.6209296065580149,137.38157547
220,25,RAPM,0.5568336471713803,82.896873935
221,26,RAPM,0.16424589592824848,125.606951375
222,27,RAPM,-0.6209296065580149,101.772580395
223,28,RAPM,-0.2283418553148831,121.418952025
224,29,RAPM,1.7345969009007751,137.98269932
225,30,RAPM,0.16424589592824848,105.905468645
226,31,RAPM,-1.0135173578011465,136.382408935
227,32,RAPM,-0.6209296065580149,109.171008125
228,33,RAPM,0.9494213984145116,130.76394503
229,34,RAPM,0.5568336471713803,128.59129744
230,35,RAPM,-0.6209296065580149,124.953257025
231,36,RAPM,0.5568336471713803,119.343968795
232,37,RAPM,0.5568336471713803,110.06232085
233,38,RAPM,2.1271846521439066,225.24117630000003
234,39,RAPM,-0.2283418553148831,80.87046380000002
235,40,RAPM,0.9494213984145116,81.242785365
236,41,RAPM,0.16424589592824848,117.259963545
237,42,RAPM,-0.2283418553148831,124.73146493
238,43,RAPM,-0.6209296065580149,109.615002625
239,44,RAPM,-1.406105109044278,162.81103116
240,45,RAPM,0.16424589592824848,122.436703325
241,46,RAPM,0.16424589592824848,124.544862275
242,47,RAPM,0.5568336471713803,69.79566292999999
243,48,RAPM,0.16424589592824848,121.95680785
244,49,RAPM,0.5568336471713803,146.102280885
245,50,RAPM,0.5568336471713803,98.99332438
246,51,RAPM,1.3420091496576434,101.95676622
247,52,RAPM,0.16424589592824848,162.63796059
248,53,RAPM,-1.406105109044278,139.16150585
249,54,RAPM,-0.6209296065580149,103.25632294
250,55,RAPM,-1.7986928602874095,109.60879840000001
251,56,RAPM,-0.2283418553148831,82.30270446
252,57,RAPM,-1.0135173578011465,144.943318115
253,58,RAPM,-1.406105109044278,161.246648075
254,59,RAPM,1.7345969009007751,140.85490922
255,60,RAPM,0.9494213984145116,99.872267955
256,61,RAPM,-1.0135173578011465,107.635368445
257,62,RAPM,-0.2283418553148831,134.17438285
258,63,RAPM,0.5568336471713803,126.262963815
259,64,RAPM,0.9494213984145116,187.059458105
260,65,RAPM,-1.0135173578011465,82.37454715000001
261,66,RAPM,0.16424589592824848,129.96798863499998
262,67,RAPM,-1.0135173578011465,111.654701675
263,68,RAPM,0.16424589592824848,123.85382123
264,69,RAPM,-1.0135173578011465,111.53530975
265,70,RAPM,-2.1912806115305408,85.54649319500002
266,71,RAPM,-0.6209296065580149,112.525510515
267,72,RAPM,2.1271846521439066,111.06764253
268,73,RAPM,-0.2283418553148831,195.34271704
269,74,RAPM,0.5568336471713803,99.999492985
270,75,RAPM,1.3420091496576434,139.09472978
271,76,RAPM,0.16424589592824848,159.81715987
272,77,RAPM,-1.0135173578011465,105.081631475
273,78,RAPM,0.5568336471713803,102.845363005
274,79,RAPM,0.9494213984145116,68.39936165
275,81,RAPM,-0.2283418553148831,99.93913337
276,82,RAPM,0.16424589592824848,80.53566765
277,83,RAPM,-1.0135173578011465,159.559788395
278,84,RAPM,2.1271846521439066,100.10477661
279,85,RAPM,-1.406105109044278,146.444340515
280,87,RAPM,0.5568336471713803,157.55230059000004
281,88,RAPM,-1.406105109044278,100.50512306
282,89,RAPM,0.16424589592824848,187.633783205
283,90,RAPM,-1.406105109044278,96.947023295
284,91,RAPM,0.16424589592824848,98.887866815
285,92,RAPM,1.3420091496576434,108.92595975
286,93,RAPM,-1.0135173578011465,173.63367576
287,94,RAPM,-1.406105109044278,163.19341401
288,95,RAPM,0.16424589592824848,131.761452085
289,96,RAPM,0.5568336471713803,95.67161811
290,97,RAPM,0.16424589592824848,113.826037765
291,98,RAPM,0.5568336471713803,146.766366415
292,99,RAPM,1.7345969009007751,116.39222179999999
293,100,RAPM,-0.6209296065580149,89.400578535
