,subject,Test,Score,Mu,Sigma,Tau,SCamp
92,95,Mem_Update,-0.3014140600625004,184.52066924,51.160076445,131.761452085,5.746412466843497
93,96,Mem_Update,0.4992116432835113,159.202540565,43.798247315,95.67161811,5.17785373608902
94,97,Mem_Update,0.3413417862857062,186.83147475,40.26778385500001,113.826037765,5.3602444987775115
95,98,Mem_Update,1.0066504693478855,173.90398971500005,52.2592168,146.766366415,6.095942446043162
96,99,Mem_Update,1.096861816203773,196.01213858,48.068816155,116.39222179999999,4.6554131424853615
97,100,Mem_Update,-0.31832868759797944,190.755413825,57.24767995,89.400578535,4.608359756097559
98,1,OSPAN,-0.3229533683782113,152.07079978,45.23447839,106.72445752,4.607705314009659
99,2,OSPAN,0.9183986413255372,154.362654415,42.322657435,120.855988275,4.350217238962859
100,3,OSPAN,0.3633225394254865,150.13252598,40.677543575,111.727054065,4.196171581769435
101,4,OSPAN,1.1202444965619192,213.271238975,78.25279067,172.39859476499996,4.6225117370892
102,5,OSPAN,1.009229276181909,153.37597089,57.31441017,123.16638393,5.0759957020057245
103,6,OSPAN,1.009229276181909,142.774136155,34.42810424,99.036833455,4.744920877998979
104,7,OSPAN,1.009229276181909,150.662465965,37.36556697,175.32081739,3.6870054730258
105,8,OSPAN,0.8679371775164416,192.837692075,57.11197565000001,92.24280198,4.215255994815292
106,9,OSPAN,1.291813473512844,190.25182089,55.178194465,103.864944985,5.2709611829944585
107,10,OSPAN,-1.0495984472291855,139.05199922999998,25.429333345,118.78651816,2.570770010131709
108,11,OSPAN,-1.4028286938928538,182.220747665,55.42141594,163.62562660999996,5.148259911894275
109,12,OSPAN,0.2422150262836573,191.25403983,54.12349992,45.717286455,5.180262116716116
110,13,OSPAN,0.04036917104727528,160.01538886,54.05055246,100.86096799,4.9923244251087695
111,14,OSPAN,-0.22203044076002024,163.479250135,65.52041635500001,134.732704055,5.0292280945757994
112,15,OSPAN,1.009229276181909,168.09646279499995,50.212823585,62.55620093,4.627702702702694
