,subject,Test,Score,Mu,Sigma,Tau,SCamp
116,19,OSPAN,-0.7165527860891562,117.39824352,59.83057011,155.064370935,3.8801504890895404
117,20,OSPAN,1.291813473512844,181.355747805,41.45140324,125.77285106,4.762500000000001
118,21,OSPAN,-0.08073834209455169,155.546076995,46.45849744,113.759184435,4.873773824650568
119,22,OSPAN,-2.1597506510292868,135.54750346,34.71732096,104.8016951,4.0029255596043685
120,23,OSPAN,-1.917535624745627,163.59702796,47.06635717,97.249310955,4.30131382978724
121,24,OSPAN,-0.8982140558019001,154.794510385,94.232538095,166.20908179999995,6.075220472440939
122,25,OSPAN,-0.12110751314182926,148.12515824000005,23.28758836,103.882306395,3.701905604719767
123,26,OSPAN,0.04036917104727528,176.14735461499995,76.22201436,143.560290795,3.3823853868194824
124,27,OSPAN,0.16147668418910566,146.21798478,50.042045985,92.869973855,4.6151861702127635
125,28,OSPAN,0.2825841973309348,153.41287338,37.91564044,157.35076157,5.129818709209566
126,29,OSPAN,0.4642454670436775,181.975544505,61.140314025,106.373291125,5.1248604802076585
127,30,OSPAN,0.5752606874236887,178.56447497,51.57354787,96.133515415,4.562111176818451
128,31,OSPAN,0.15138439142728652,126.51021542,15.8000566,174.72826594,3.7199010654490148
129,32,OSPAN,0.25230731904547754,117.42233725,47.17172352,158.75719993,4.455168634064075
130,33,OSPAN,0.7468296643746124,126.98288754,61.4822755,144.3962637,4.591192660550463
131,34,OSPAN,1.0798753255146438,166.98547432499996,65.908124265,116.739650225,4.714100862641007
132,35,OSPAN,1.1202444965619192,136.893058445,39.785690185,141.77867178,3.6713547954393024
133,36,OSPAN,0.1412920986654663,131.13728641,21.773096395000003,144.553224845,3.9498353658536622
134,37,OSPAN,-0.010092292761819102,161.54892688,62.635650645,95.439153295,5.632123510292527
135,38,OSPAN,0.9183986413255372,145.82205493499995,46.942877695,199.50762562,5.639591993841418
136,39,OSPAN,-0.3431379539018495,165.962056625,48.89931078,113.360207275,4.186615916955022
137,40,OSPAN,-0.3330456611400292,191.43715835,57.32743406,71.455605095,4.148546824542517
138,41,OSPAN,0.9587678123728146,154.47520618,51.19414829,127.047888035,4.772863606981241
139,42,OSPAN,-2.099196894458371,180.68477815,61.248297135,113.21878572,3.452673796791447
140,43,OSPAN,0.6358144439946034,155.645891535,47.301517735,101.81245852,4.420708232445514
141,44,OSPAN,-0.9486755196109944,164.88624867,91.74958584,156.33141367,4.872095516569201
142,45,OSPAN,0.5348915163764124,154.714976665,59.03614511,155.240928025,5.481244870041037
143,46,OSPAN,0.6156298584709641,174.74081003499995,56.33566037,129.70225748500002,5.074829683698299
144,47,OSPAN,-0.4036917104727629,166.15345601,60.84816386,87.148174695,3.9239006211180048
145,48,OSPAN,0.5247992236145933,166.79726692000003,31.284823870000004,143.337297615,4.838801004394228
146,49,OSPAN,-0.6459067367564225,169.54260018,55.69065665,179.69248557,4.0175408348457315
147,50,OSPAN,0.7064604933273371,175.18121206,47.42251921,109.53778844,5.028406169665812
148,51,OSPAN,-0.21193814799820115,155.967304805,46.399702425,107.521968245,4.710694618272847
149,52,OSPAN,-0.10092292761819102,162.39879905499996,65.896816685,144.272228815,4.4542183817753385
150,53,OSPAN,-4.0066402264421805,170.34762358,55.651324115,150.044068255,6.066740376740369
151,54,OSPAN,0.6660913222800596,165.839965965,42.52482759,126.182345545,4.5710148674854585
152,55,OSPAN,0.0,174.994429655,83.151359025,107.32506305,5.5288480222068
153,56,OSPAN,-0.03027687828545618,138.97136471,21.51784741,124.86735692,3.5655865272938416
154,57,OSPAN,-1.3826441083692158,158.92383588,46.17742325,169.89752879,5.6736548672566345
155,58,OSPAN,-0.908306348563718,137.399359465,38.64646857,185.35665055,3.52252330226365
156,59,OSPAN,-1.009229276181909,162.40222391499995,61.28383782,161.741166915,4.199703652653342
157,60,OSPAN,-2.0487354306492755,127.39301294,39.484329175,111.54174584,3.758619599578505
158,61,OSPAN,-0.4642454670436787,165.357800185,38.03592057,174.297160735,4.16570318021202
159,62,OSPAN,0.0908306348563708,204.9732361,60.92197505,174.54364455,5.5402299829642185
160,63,OSPAN,0.4642454670436775,159.93231384,37.39956466,119.832998315,4.574737470167069
161,64,OSPAN,0.5752606874236887,149.34581386000005,43.67147491,154.77593909,3.992656249999997
162,65,OSPAN,0.4238762959964023,141.55796078999995,31.40795748,85.862652825,4.5824680073126265
163,66,OSPAN,0.9183986413255372,150.091327175,42.818747245,125.289691145,3.738747875354105
164,67,OSPAN,-1.7055974767474271,129.919411815,41.91525953,136.00668715999998,5.238025350233488
165,68,OSPAN,0.8679371775164416,130.93436422500002,10.006523694999998,162.73317965,4.623112244897961
166,69,OSPAN,-0.5449838091382315,173.60113837,50.59487214000001,142.88156676,3.349605597964377
167,70,OSPAN,1.291813473512844,148.55001693999995,56.687583775,83.06421073,4.184752046220513
168,71,OSPAN,-2.270765871409296,145.43571287499995,57.805188435,136.89248385500002,4.7814058053500315
169,72,OSPAN,1.1202444965619192,112.596176075,30.478275815,146.08773169999995,3.832119976703552
170,73,OSPAN,0.6156298584709641,168.00983630000005,56.47016447,228.14466335,6.327185114503825
171,74,OSPAN,-1.5542130853201406,171.747619155,54.973905095,98.41985779,5.321926707384788
172,75,OSPAN,-0.03027687828545618,189.74698419,57.92356495,154.08819612,6.731764705882352
173,76,OSPAN,-0.2926764900927539,115.54997788,10.586418225,208.216485355,3.4716877971473825
174,77,OSPAN,0.9183986413255372,149.34920089,40.965538125,95.8966296,4.387146365422399
175,78,OSPAN,0.38350712494912587,174.09031514499995,53.207124145,107.77053297,5.582325315005732
176,79,OSPAN,1.1202444965619192,136.38900816,30.675975345,90.69739476,4.165317265125432
177,81,OSPAN,-1.8872587464601696,194.36234051,60.42743127,149.95807135,3.617157894736839
178,82,OSPAN,0.4642454670436775,190.55146496,38.66661395,80.19051521,3.664872364039963
179,83,OSPAN,0.7064604933273371,113.80536151,11.4868039,223.18885745,3.10589765828274
180,84,OSPAN,0.5651683946618685,165.69906919999997,52.583869075,138.94181344,4.268486269256525
